# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.530e+02, -0.000e+00, 5.565e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.564e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.564e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.564e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.564e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.564e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.564e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.563e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.563e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.561e+00, 0.000e+00
2.000e-04, -2.000e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.529e+02, -0.000e+00, 5.561e+00, 0.000e+00
2.000e-04, -1.999e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.528e+02, -0.000e+00, 5.558e+00, 0.000e+00
2.000e-04, -1.999e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.528e+02, -0.000e+00, 5.558e+00, 0.000e+00
2.000e-04, -1.999e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.527e+02, -0.000e+00, 5.555e+00, 0.000e+00
2.000e-04, -1.999e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.527e+02, -0.000e+00, 5.555e+00, 0.000e+00
2.000e-04, -1.998e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.526e+02, -0.000e+00, 5.552e+00, 0.000e+00
2.000e-04, -1.998e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.526e+02, -0.000e+00, 5.552e+00, 0.000e+00
2.000e-04, -1.998e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.525e+02, -0.000e+00, 5.549e+00, 0.000e+00
2.000e-04, -1.998e+01, 0.000e+00, 9.697e+02, 0.000e+00, -3.525e+02, -0.000e+00, 5.549e+00, 0.000e+00
2.000e-04, -1.997e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.523e+02, -0.000e+00, 5.545e+00, 0.000e+00
2.000e-04, -1.997e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.523e+02, -0.000e+00, 5.545e+00, 0.000e+00
2.000e-04, -1.995e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.520e+02, -0.000e+00, 5.537e+00, 0.000e+00
2.000e-04, -1.995e+01, 0.000e+00, 9.698e+02, 0.000e+00, -3.520e+02, -0.000e+00, 5.537e+00, 0.000e+00
2.000e-04, -1.993e+01, 0.000e+00, 9.699e+02, 0.000e+00, -3.516e+02, -0.000e+00, 5.528e+00, 0.000e+00
2.000e-04, -1.993e+01, 0.000e+00, 9.699e+02, 0.000e+00, -3.516e+02, -0.000e+00, 5.528e+00, 0.000e+00
2.000e-04, -1.990e+01, 0.000e+00, 9.700e+02, 0.000e+00, -3.512e+02, -0.000e+00, 5.518e+00, 0.000e+00
2.000e-04, -1.990e+01, 0.000e+00, 9.700e+02, 0.000e+00, -3.512e+02, -0.000e+00, 5.518e+00, 0.000e+00
2.000e-04, -1.987e+01, 0.000e+00, 9.701e+02, 0.000e+00, -3.507e+02, -0.000e+00, 5.507e+00, 0.000e+00
2.000e-04, -1.987e+01, 0.000e+00, 9.701e+02, 0.000e+00, -3.507e+02, -0.000e+00, 5.507e+00, 0.000e+00
2.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.501e+02, -0.000e+00, 5.495e+00, 0.000e+00
2.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.501e+02, -0.000e+00, 5.495e+00, 0.000e+00
2.000e-04, -1.981e+01, 0.000e+00, 9.704e+02, 0.000e+00, -3.495e+02, -0.000e+00, 5.481e+00, 0.000e+00
2.000e-04, -1.981e+01, 0.000e+00, 9.704e+02, 0.000e+00, -3.495e+02, -0.000e+00, 5.481e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.493e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
4.000e-04, -1.984e+01, 0.000e+00, 9.702e+02, 0.000e+00, -3.500e+02, -0.000e+00, 5.492e+00, 0.000e+00
