# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
2.000e-04, -4.932e+00, -4.091e-01, 1.028e+03, -7.367e+00, -8.871e+01, -9.509e-03, 1.392e+00, -1.156e-01
4.000e-04, -4.788e+00, -7.317e-01, 1.028e+03, -1.318e+01, -8.612e+01, -9.448e-03, 1.346e+00, -2.059e-01
6.000e-04, -4.517e+00, -1.079e+00, 1.028e+03, -1.942e+01, -8.124e+01, -9.374e-03, 1.263e+00, -3.019e-01
8.000e-04, -4.205e+00, -1.327e+00, 1.028e+03, -2.389e+01, -7.562e+01, -9.311e-03, 1.170e+00, -3.696e-01
1.000e-03, -3.864e+00, -1.503e+00, 1.029e+03, -2.705e+01, -6.949e+01, -9.253e-03, 1.069e+00, -4.163e-01
1.200e-03, -3.407e+00, -1.636e+00, 1.029e+03, -2.945e+01, -6.126e+01, -9.186e-03, 9.360e-01, -4.501e-01
1.400e-03, -2.957e+00, -1.681e+00, 1.029e+03, -3.025e+01, -5.317e+01, -9.125e-03, 8.061e-01, -4.588e-01
1.600e-03, -2.439e+00, -1.643e+00, 1.030e+03, -2.956e+01, -4.386e+01, -9.059e-03, 6.576e-01, -4.435e-01
1.800e-03, -1.916e+00, -1.513e+00, 1.030e+03, -2.722e+01, -3.446e+01, -8.993e-03, 5.087e-01, -4.023e-01
2.000e-03, -1.438e+00, -1.311e+00, 1.030e+03, -2.359e+01, -2.586e+01, -8.932e-03, 3.733e-01, -3.413e-01
2.200e-03, -9.903e-01, -1.042e+00, 1.030e+03, -1.874e+01, -1.781e+01, -8.873e-03, 2.475e-01, -2.614e-01
2.400e-03, -5.441e-01, -6.767e-01, 1.031e+03, -1.217e+01, -9.787e+00, -8.809e-03, 1.228e-01, -1.547e-01
2.600e-03, -1.929e-01, -2.979e-01, 1.031e+03, -5.359e+00, -3.471e+00, -8.752e-03, 2.543e-02, -4.512e-02
2.800e-03, 1.544e-01, 2.002e-01, 1.031e+03, 3.602e+00, 2.776e+00, -8.686e-03, -6.985e-02, 9.790e-02
3.000e-03, 3.922e-01, 6.691e-01, 1.030e+03, 1.203e+01, 7.054e+00, -8.629e-03, -1.341e-01, 2.316e-01
3.200e-03, 5.671e-01, 1.166e+00, 1.030e+03, 2.097e+01, 1.020e+01, -8.571e-03, -1.802e-01, 3.724e-01
3.400e-03, 6.723e-01, 1.678e+00, 1.030e+03, 3.017e+01, 1.208e+01, -8.512e-03, -2.063e-01, 5.164e-01
3.600e-03, 7.041e-01, 2.208e+00, 1.029e+03, 3.969e+01, 1.265e+01, -8.451e-03, -2.115e-01, 6.647e-01
3.800e-03, 6.620e-01, 2.685e+00, 1.029e+03, 4.825e+01, 1.189e+01, -8.393e-03, -1.961e-01, 7.970e-01
4.000e-03, 5.477e-01, 3.147e+00, 1.028e+03, 5.655e+01, 9.831e+00, -8.332e-03, -1.605e-01, 9.243e-01
4.200e-03, 3.914e-01, 3.516e+00, 1.028e+03, 6.315e+01, 7.021e+00, -8.279e-03, -1.138e-01, 1.025e+00
4.400e-03, 1.605e-01, 3.873e+00, 1.027e+03, 6.955e+01, 2.878e+00, -8.218e-03, -4.626e-02, 1.121e+00
4.600e-03, -9.620e-02, 4.138e+00, 1.027e+03, 7.430e+01, -1.724e+00, -8.161e-03, 2.770e-02, 1.190e+00
4.800e-03, -4.038e-01, 4.342e+00, 1.027e+03, 7.795e+01, -7.235e+00, -8.100e-03, 1.153e-01, 1.242e+00
5.000e-03, -6.657e-01, 4.441e+00, 1.026e+03, 7.971e+01, -1.192e+01, -8.051e-03, 1.893e-01, 1.265e+00
5.200e-03, -9.633e-01, 4.479e+00, 1.026e+03, 8.038e+01, -1.725e+01, -7.995e-03, 2.726e-01, 1.270e+00
5.400e-03, -1.274e+00, 4.431e+00, 1.026e+03, 7.951e+01, -2.281e+01, -7.935e-03, 3.587e-01, 1.251e+00
5.600e-03, -1.520e+00, 4.318e+00, 1.026e+03, 7.748e+01, -2.722e+01, -7.884e-03, 4.265e-01, 1.214e+00
5.800e-03, -1.749e+00, 4.129e+00, 1.026e+03, 7.409e+01, -3.132e+01, -7.829e-03, 4.884e-01, 1.155e+00
6.000e-03, -1.929e+00, 3.881e+00, 1.026e+03, 6.965e+01, -3.455e+01, -7.776e-03, 5.365e-01, 1.081e+00
6.200e-03, -2.067e+00, 3.550e+00, 1.026e+03, 6.369e+01, -3.703e+01, -7.718e-03, 5.718e-01, 9.834e-01
6.400e-03, -2.130e+00, 3.211e+00, 1.026e+03, 5.761e+01, -3.816e+01, -7.666e-03, 5.862e-01, 8.847e-01
6.600e-03, -2.130e+00, 2.812e+00, 1.027e+03, 5.046e+01, -3.818e+01, -7.611e-03, 5.825e-01, 7.696e-01
6.800e-03, -2.066e+00, 2.425e+00, 1.027e+03, 4.352e+01, -3.704e+01, -7.561e-03, 5.609e-01, 6.587e-01
7.000e-03, -1.924e+00, 1.991e+00, 1.027e+03, 3.572e+01, -3.450e+01, -7.507e-03, 5.171e-01, 5.349e-01
7.200e-03, -1.724e+00, 1.584e+00, 1.027e+03, 2.842e+01, -3.092e+01, -7.456e-03, 4.571e-01, 4.198e-01
7.400e-03, -1.466e+00, 1.197e+00, 1.028e+03, 2.147e+01, -2.631e+01, -7.406e-03, 3.814e-01, 3.109e-01
7.600e-03, -1.155e+00, 8.326e-01, 1.028e+03, 1.494e+01, -2.072e+01, -7.356e-03, 2.908e-01, 2.090e-01
7.800e-03, -7.599e-01, 4.714e-01, 1.028e+03, 8.458e+00, -1.363e+01, -7.302e-03, 1.770e-01, 1.086e-01
8.000e-03, -3.373e-01, 1.697e-01, 1.028e+03, 3.044e+00, -6.051e+00, -7.251e-03, 5.607e-02, 2.553e-02
8.200e-03, 1.013e-01, -7.325e-02, 1.028e+03, -1.314e+00, 1.817e+00, -7.202e-03, -6.864e-02, -4.070e-02
8.400e-03, 5.810e-01, -2.718e-01, 1.028e+03, -4.875e+00, 1.042e+01, -7.151e-03, -2.042e-01, -9.402e-02
8.600e-03, 1.054e+00, -4.071e-01, 1.027e+03, -7.301e+00, 1.891e+01, -7.102e-03, -3.372e-01, -1.294e-01
8.800e-03, 1.507e+00, -4.835e-01, 1.027e+03, -8.671e+00, 2.702e+01, -7.056e-03, -4.636e-01, -1.483e-01
9.000e-03, 2.007e+00, -5.078e-01, 1.027e+03, -9.106e+00, 3.599e+01, -7.004e-03, -6.027e-01, -1.521e-01
9.200e-03, 2.441e+00, -4.742e-01, 1.026e+03, -8.503e+00, 4.376e+01, -6.956e-03, -7.223e-01, -1.401e-01
9.400e-03, 2.824e+00, -3.961e-01, 1.026e+03, -7.103e+00, 5.061e+01, -6.911e-03, -8.270e-01, -1.159e-01
9.600e-03, 3.192e+00, -2.679e-01, 1.026e+03, -4.803e+00, 5.720e+01, -6.862e-03, -9.268e-01, -7.767e-02
9.800e-03, 3.524e+00, -9.051e-02, 1.025e+03, -1.622e+00, 6.314e+01, -6.812e-03, -1.016e+00, -2.598e-02
