# Time,     alpha,     beta,     V_inf,    u(v_body_X), v(v_body_Y), w(v_body_Z),  p,       q,         r,         gx,         gy,       gz,      FX_body,    FY_body,    FZ_body  
2.000e-04, -1.261e-01, 0.000e+00, 1.032e+03, 1.032e+03, 0.000e+00, -2.272e+00, 0.000e+00, -9.872e+00, 0.000e+00, 2.164e-02, 0.000e+00, 9.810e+00, -2.129e+01, -0.000e+00, 1.108e+00
4.000e-04, -2.346e-01, 0.000e+00, 1.032e+03, 1.032e+03, 0.000e+00, -4.224e+00, 0.000e+00, -9.626e+00, 0.000e+00, 4.028e-02, 0.000e+00, 9.810e+00, -2.129e+01, -0.000e+00, 2.060e+00
6.000e-04, -3.513e-01, 0.000e+00, 1.032e+03, 1.032e+03, 0.000e+00, -6.326e+00, 0.000e+00, -9.210e+00, 0.000e+00, 6.039e-02, 0.000e+00, 9.810e+00, -2.130e+01, -0.000e+00, 3.085e+00
8.000e-04, -4.395e-01, 0.000e+00, 1.032e+03, 1.032e+03, 0.000e+00, -7.913e+00, 0.000e+00, -8.777e+00, 0.000e+00, 7.562e-02, 0.000e+00, 9.810e+00, -2.131e+01, -0.000e+00, 3.858e+00
1.000e-03, -5.407e-01, 0.000e+00, 1.032e+03, 1.032e+03, 0.000e+00, -9.735e+00, 0.000e+00, -8.132e+00, 0.000e+00, 9.315e-02, 0.000e+00, 9.810e+00, -2.132e+01, -0.000e+00, 4.746e+00
1.200e-03, -6.319e-01, 0.000e+00, 1.031e+03, 1.031e+03, 0.000e+00, -1.138e+01, 0.000e+00, -7.383e+00, 0.000e+00, 1.090e-01, 0.000e+00, 9.809e+00, -2.133e+01, -0.000e+00, 5.546e+00
1.400e-03, -7.022e-01, 0.000e+00, 1.031e+03, 1.031e+03, 0.000e+00, -1.264e+01, 0.000e+00, -6.662e+00, 0.000e+00, 1.212e-01, 0.000e+00, 9.809e+00, -2.134e+01, -0.000e+00, 6.162e+00
1.600e-03, -7.799e-01, 0.000e+00, 1.031e+03, 1.031e+03, 0.000e+00, -1.404e+01, 0.000e+00, -5.655e+00, 0.000e+00, 1.348e-01, 0.000e+00, 9.809e+00, -2.136e+01, -0.000e+00, 6.843e+00
1.800e-03, -8.310e-01, 0.000e+00, 1.031e+03, 1.031e+03, 0.000e+00, -1.496e+01, 0.000e+00, -4.809e+00, 0.000e+00, 1.438e-01, 0.000e+00, 9.809e+00, -2.137e+01, -0.000e+00, 7.290e+00
2.000e-03, -8.838e-01, 0.000e+00, 1.031e+03, 1.031e+03, 0.000e+00, -1.590e+01, 0.000e+00, -3.653e+00, 0.000e+00, 1.532e-01, 0.000e+00, 9.809e+00, -2.138e+01, -0.000e+00, 7.751e+00
