 # Time,      Mach,      alfa,       beta,      Cd,      Cd0,     Cdd2,    CL_alfa,     Cn_p_alfa,     Cn_q_alfa 
1.000e-05, 2.329e+00, 1.048e-05, 4.830e-04, 3.308e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.000e-05, 2.329e+00, 2.722e-05, 7.816e-04, 3.309e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.000e-05, 2.329e+00, 2.684e-05, 7.761e-04, 3.309e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.000e-05, 2.329e+00, 4.881e-05, 1.048e-03, 3.309e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
5.000e-05, 2.329e+00, 7.695e-05, 1.317e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
6.000e-05, 2.329e+00, 1.112e-04, 1.582e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
7.000e-05, 2.329e+00, 1.514e-04, 1.846e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
8.000e-05, 2.329e+00, 1.975e-04, 2.107e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
9.000e-05, 2.329e+00, 2.239e-04, 2.243e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.000e-04, 2.329e+00, 2.779e-04, 2.496e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.100e-04, 2.329e+00, 3.375e-04, 2.748e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.200e-04, 2.329e+00, 4.028e-04, 2.999e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.300e-04, 2.329e+00, 4.736e-04, 3.248e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.400e-04, 2.329e+00, 5.499e-04, 3.494e-03, 3.309e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.500e-04, 2.329e+00, 6.316e-04, 3.739e-03, 3.309e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.600e-04, 2.329e+00, 7.185e-04, 3.981e-03, 3.309e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.700e-04, 2.328e+00, 8.109e-04, 4.221e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.800e-04, 2.328e+00, 9.086e-04, 4.460e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.900e-04, 2.328e+00, 1.012e-03, 4.696e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.000e-04, 2.328e+00, 1.118e-03, 4.926e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.100e-04, 2.328e+00, 1.229e-03, 5.153e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.200e-04, 2.328e+00, 1.346e-03, 5.379e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.300e-04, 2.328e+00, 1.467e-03, 5.602e-03, 3.310e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.400e-04, 2.328e+00, 1.593e-03, 5.823e-03, 3.311e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.500e-04, 2.328e+00, 1.725e-03, 6.041e-03, 3.311e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.600e-04, 2.328e+00, 1.861e-03, 6.257e-03, 3.311e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.700e-04, 2.328e+00, 2.003e-03, 6.471e-03, 3.311e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.800e-04, 2.328e+00, 2.149e-03, 6.682e-03, 3.311e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.900e-04, 2.328e+00, 2.300e-03, 6.890e-03, 3.311e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.000e-04, 2.328e+00, 2.456e-03, 7.095e-03, 3.312e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.100e-04, 2.328e+00, 2.616e-03, 7.298e-03, 3.312e-01, 3.309e-01, 4.972e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.200e-04, 2.328e+00, 2.781e-03, 7.497e-03, 3.312e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.300e-04, 2.328e+00, 2.951e-03, 7.693e-03, 3.312e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.400e-04, 2.328e+00, 3.125e-03, 7.886e-03, 3.312e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.500e-04, 2.328e+00, 3.303e-03, 8.075e-03, 3.313e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.600e-04, 2.328e+00, 3.486e-03, 8.261e-03, 3.313e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.700e-04, 2.328e+00, 3.674e-03, 8.444e-03, 3.313e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.800e-04, 2.328e+00, 3.865e-03, 8.623e-03, 3.313e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.900e-04, 2.328e+00, 4.061e-03, 8.798e-03, 3.314e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.000e-04, 2.328e+00, 4.260e-03, 8.969e-03, 3.314e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.100e-04, 2.328e+00, 4.464e-03, 9.137e-03, 3.314e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.200e-04, 2.328e+00, 4.672e-03, 9.301e-03, 3.314e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.300e-04, 2.328e+00, 4.884e-03, 9.460e-03, 3.315e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.400e-04, 2.328e+00, 5.099e-03, 9.616e-03, 3.315e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.500e-04, 2.328e+00, 5.318e-03, 9.767e-03, 3.315e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.600e-04, 2.328e+00, 5.541e-03, 9.914e-03, 3.315e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.700e-04, 2.328e+00, 5.767e-03, 1.006e-02, 3.316e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.800e-04, 2.328e+00, 5.997e-03, 1.020e-02, 3.316e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.900e-04, 2.328e+00, 6.230e-03, 1.033e-02, 3.316e-01, 3.309e-01, 4.973e+00, 2.753e+00, -6.700e-01, -3.000e-03
5.000e-04, 2.328e+00, 6.467e-03, 1.046e-02, 3.316e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.100e-04, 2.328e+00, 6.707e-03, 1.058e-02, 3.317e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.200e-04, 2.328e+00, 6.942e-03, 1.070e-02, 3.317e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.300e-04, 2.328e+00, 7.180e-03, 1.081e-02, 3.317e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.400e-04, 2.328e+00, 7.420e-03, 1.092e-02, 3.318e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.500e-04, 2.328e+00, 7.663e-03, 1.102e-02, 3.318e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.600e-04, 2.328e+00, 7.909e-03, 1.112e-02, 3.318e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.700e-04, 2.328e+00, 8.156e-03, 1.122e-02, 3.319e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.800e-04, 2.328e+00, 8.407e-03, 1.131e-02, 3.319e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
5.900e-04, 2.328e+00, 8.659e-03, 1.139e-02, 3.319e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.000e-04, 2.328e+00, 8.914e-03, 1.147e-02, 3.320e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.100e-04, 2.328e+00, 9.170e-03, 1.155e-02, 3.320e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.200e-04, 2.328e+00, 9.429e-03, 1.162e-02, 3.320e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.300e-04, 2.328e+00, 9.689e-03, 1.168e-02, 3.321e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.400e-04, 2.328e+00, 9.951e-03, 1.174e-02, 3.321e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.500e-04, 2.328e+00, 1.021e-02, 1.180e-02, 3.321e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.600e-04, 2.328e+00, 1.048e-02, 1.185e-02, 3.322e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.700e-04, 2.328e+00, 1.075e-02, 1.190e-02, 3.322e-01, 3.309e-01, 4.974e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.800e-04, 2.328e+00, 1.101e-02, 1.194e-02, 3.322e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
6.900e-04, 2.328e+00, 1.128e-02, 1.197e-02, 3.323e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.000e-04, 2.328e+00, 1.169e-02, 1.202e-02, 3.323e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.100e-04, 2.328e+00, 1.195e-02, 1.204e-02, 3.324e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.200e-04, 2.328e+00, 1.222e-02, 1.206e-02, 3.324e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.300e-04, 2.328e+00, 1.248e-02, 1.207e-02, 3.324e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.400e-04, 2.328e+00, 1.274e-02, 1.208e-02, 3.325e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.500e-04, 2.328e+00, 1.300e-02, 1.209e-02, 3.325e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.600e-04, 2.328e+00, 1.332e-02, 1.209e-02, 3.325e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.700e-04, 2.327e+00, 1.360e-02, 1.208e-02, 3.326e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.800e-04, 2.327e+00, 1.385e-02, 1.207e-02, 3.326e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
7.900e-04, 2.327e+00, 1.417e-02, 1.205e-02, 3.326e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.000e-04, 2.327e+00, 1.448e-02, 1.203e-02, 3.327e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.100e-04, 2.327e+00, 1.480e-02, 1.200e-02, 3.327e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.200e-04, 2.327e+00, 1.511e-02, 1.196e-02, 3.328e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.300e-04, 2.327e+00, 1.542e-02, 1.192e-02, 3.328e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.400e-04, 2.327e+00, 1.558e-02, 1.189e-02, 3.328e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.500e-04, 2.327e+00, 1.588e-02, 1.184e-02, 3.329e-01, 3.309e-01, 4.975e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.600e-04, 2.327e+00, 1.618e-02, 1.178e-02, 3.329e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.700e-04, 2.327e+00, 1.648e-02, 1.172e-02, 3.330e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.800e-04, 2.327e+00, 1.678e-02, 1.165e-02, 3.330e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
8.900e-04, 2.327e+00, 1.708e-02, 1.158e-02, 3.331e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.000e-04, 2.327e+00, 1.738e-02, 1.150e-02, 3.331e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.100e-04, 2.327e+00, 1.767e-02, 1.141e-02, 3.331e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.200e-04, 2.327e+00, 1.797e-02, 1.132e-02, 3.332e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.300e-04, 2.327e+00, 1.826e-02, 1.122e-02, 3.332e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.400e-04, 2.327e+00, 1.855e-02, 1.112e-02, 3.333e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.500e-04, 2.327e+00, 1.885e-02, 1.101e-02, 3.333e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.600e-04, 2.327e+00, 1.914e-02, 1.089e-02, 3.334e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.700e-04, 2.327e+00, 1.943e-02, 1.077e-02, 3.334e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.800e-04, 2.327e+00, 1.971e-02, 1.065e-02, 3.334e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
9.900e-04, 2.327e+00, 2.000e-02, 1.052e-02, 3.335e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.000e-03, 2.327e+00, 2.028e-02, 1.038e-02, 3.335e-01, 3.309e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.010e-03, 2.327e+00, 2.057e-02, 1.024e-02, 3.336e-01, 3.310e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.020e-03, 2.327e+00, 2.085e-02, 1.009e-02, 3.336e-01, 3.310e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.030e-03, 2.327e+00, 2.112e-02, 9.937e-03, 3.337e-01, 3.310e-01, 4.976e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.040e-03, 2.327e+00, 2.140e-02, 9.779e-03, 3.337e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.050e-03, 2.327e+00, 2.168e-02, 9.615e-03, 3.338e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.060e-03, 2.327e+00, 2.195e-02, 9.445e-03, 3.338e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.070e-03, 2.327e+00, 2.222e-02, 9.270e-03, 3.338e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.080e-03, 2.327e+00, 2.248e-02, 9.090e-03, 3.339e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.090e-03, 2.327e+00, 2.275e-02, 8.905e-03, 3.339e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.100e-03, 2.327e+00, 2.301e-02, 8.714e-03, 3.340e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.110e-03, 2.327e+00, 2.327e-02, 8.519e-03, 3.340e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.120e-03, 2.327e+00, 2.353e-02, 8.318e-03, 3.341e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.130e-03, 2.327e+00, 2.378e-02, 8.112e-03, 3.341e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.140e-03, 2.327e+00, 2.403e-02, 7.901e-03, 3.341e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.150e-03, 2.327e+00, 2.428e-02, 7.686e-03, 3.342e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.160e-03, 2.327e+00, 2.452e-02, 7.466e-03, 3.342e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.170e-03, 2.327e+00, 2.476e-02, 7.241e-03, 3.343e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.180e-03, 2.327e+00, 2.500e-02, 7.012e-03, 3.343e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.190e-03, 2.327e+00, 2.523e-02, 6.784e-03, 3.344e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.200e-03, 2.327e+00, 2.545e-02, 6.557e-03, 3.344e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.210e-03, 2.327e+00, 2.566e-02, 6.326e-03, 3.344e-01, 3.310e-01, 4.977e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.220e-03, 2.327e+00, 2.587e-02, 6.091e-03, 3.345e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.230e-03, 2.327e+00, 2.608e-02, 5.852e-03, 3.345e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.240e-03, 2.327e+00, 2.629e-02, 5.609e-03, 3.346e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.250e-03, 2.327e+00, 2.649e-02, 5.362e-03, 3.346e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.260e-03, 2.327e+00, 2.669e-02, 5.111e-03, 3.347e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.270e-03, 2.327e+00, 2.688e-02, 4.856e-03, 3.347e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.280e-03, 2.327e+00, 2.708e-02, 4.597e-03, 3.347e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.290e-03, 2.327e+00, 2.726e-02, 4.335e-03, 3.348e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.300e-03, 2.327e+00, 2.745e-02, 4.070e-03, 3.348e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.310e-03, 2.327e+00, 2.763e-02, 3.801e-03, 3.349e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.320e-03, 2.327e+00, 2.780e-02, 3.528e-03, 3.349e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.330e-03, 2.327e+00, 2.797e-02, 3.253e-03, 3.349e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.340e-03, 2.327e+00, 2.814e-02, 2.974e-03, 3.350e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.350e-03, 2.327e+00, 2.830e-02, 2.692e-03, 3.350e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.360e-03, 2.327e+00, 2.846e-02, 2.407e-03, 3.350e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.370e-03, 2.326e+00, 2.862e-02, 2.120e-03, 3.351e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.380e-03, 2.326e+00, 2.876e-02, 1.830e-03, 3.351e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.390e-03, 2.326e+00, 2.891e-02, 1.538e-03, 3.352e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.400e-03, 2.326e+00, 2.905e-02, 1.243e-03, 3.352e-01, 3.310e-01, 4.978e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.410e-03, 2.326e+00, 2.919e-02, 9.468e-04, 3.352e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.420e-03, 2.326e+00, 2.938e-02, 4.953e-04, 3.353e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.430e-03, 2.326e+00, 2.950e-02, 2.029e-04, 3.353e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.440e-03, 2.326e+00, 2.962e-02, -8.920e-05, 3.354e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.450e-03, 2.326e+00, 2.973e-02, -3.798e-04, 3.354e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.460e-03, 2.326e+00, 2.985e-02, -7.333e-04, 3.354e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.470e-03, 2.326e+00, 2.997e-02, -1.087e-03, 3.355e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
1.480e-03, 2.326e+00, 3.009e-02, -1.442e-03, 3.355e-01, 3.310e-01, 4.979e+00, 2.752e+00, -6.700e-01, -3.000e-03
