 # Time,     Mach,      alfa,      beta,      Cd,      Cd0,     Cd2,     CL_alfa,     Cn_p_alfa,     Cn_q_alfa 
1.000e-05, 2.329e+00, -4.117e-05, 2.577e-04, 3.308e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
2.000e-05, 2.329e+00, -1.622e-04, 4.949e-04, 3.308e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
3.000e-05, 2.329e+00, -3.642e-04, 6.996e-04, 3.309e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
4.000e-05, 2.329e+00, -6.342e-04, 8.456e-04, 3.309e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
5.000e-05, 2.329e+00, -8.772e-04, 9.073e-04, 3.309e-01, 3.308e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
6.000e-05, 2.329e+00, -1.202e-03, 9.149e-04, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
7.000e-05, 2.329e+00, -1.540e-03, 8.432e-04, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
8.000e-05, 2.329e+00, -1.879e-03, 6.882e-04, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
9.000e-05, 2.329e+00, -2.274e-03, 3.781e-04, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.000e-04, 2.329e+00, -2.539e-03, 5.454e-05, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.100e-04, 2.329e+00, -2.783e-03, -4.090e-04, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.200e-04, 2.329e+00, -2.906e-03, -8.042e-04, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
1.300e-04, 2.329e+00, -2.975e-03, -1.295e-03, 3.309e-01, 3.309e-01, 4.971e+00, 2.753e+00, -6.700e-01, -3.000e-03
