 # Time,   Mach,     alfa,     beta,     Clp,     Cm_alfa,     Cm_p_alfa,     Cm_q,     Cn_beta,     Cn_r 
1.000e-05, 2.329e+00, -4.117e-05, 2.577e-04, -1.417e-02, 2.634e+00, -3.300e-01, -1.640e+01, 0.000e+00, 0.000e+00
2.000e-05, 2.329e+00, -1.622e-04, 4.949e-04, -1.417e-02, 2.634e+00, -3.299e-01, -1.640e+01, 0.000e+00, 0.000e+00
3.000e-05, 2.329e+00, -3.642e-04, 6.996e-04, -1.417e-02, 2.634e+00, -3.298e-01, -1.640e+01, 0.000e+00, 0.000e+00
4.000e-05, 2.329e+00, -6.342e-04, 8.456e-04, -1.417e-02, 2.634e+00, -3.296e-01, -1.640e+01, 0.000e+00, 0.000e+00
5.000e-05, 2.329e+00, -8.772e-04, 9.073e-04, -1.417e-02, 2.634e+00, -3.295e-01, -1.640e+01, 0.000e+00, 0.000e+00
6.000e-05, 2.329e+00, -1.202e-03, 9.149e-04, -1.417e-02, 2.634e+00, -3.293e-01, -1.640e+01, 0.000e+00, 0.000e+00
7.000e-05, 2.329e+00, -1.540e-03, 8.432e-04, -1.417e-02, 2.634e+00, -3.290e-01, -1.640e+01, 0.000e+00, 0.000e+00
8.000e-05, 2.329e+00, -1.879e-03, 6.882e-04, -1.417e-02, 2.634e+00, -3.287e-01, -1.640e+01, 0.000e+00, 0.000e+00
9.000e-05, 2.329e+00, -2.274e-03, 3.781e-04, -1.417e-02, 2.634e+00, -3.283e-01, -1.640e+01, 0.000e+00, 0.000e+00
1.000e-04, 2.329e+00, -2.539e-03, 5.454e-05, -1.417e-02, 2.634e+00, -3.279e-01, -1.640e+01, 0.000e+00, 0.000e+00
1.100e-04, 2.329e+00, -2.783e-03, -4.090e-04, -1.417e-02, 2.634e+00, -3.275e-01, -1.640e+01, 0.000e+00, 0.000e+00
1.200e-04, 2.329e+00, -2.906e-03, -8.042e-04, -1.417e-02, 2.634e+00, -3.271e-01, -1.640e+01, 0.000e+00, 0.000e+00
1.300e-04, 2.329e+00, -2.975e-03, -1.295e-03, -1.417e-02, 2.634e+00, -3.266e-01, -1.640e+01, 0.000e+00, 0.000e+00
1.400e-04, 2.329e+00, -2.939e-03, -1.969e-03, -1.417e-02, 2.634e+00, -3.260e-01, -1.640e+01, 0.000e+00, 0.000e+00
