# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
1.000e-05, -4.117e-05, 2.577e-04, 7.925e+02, 2.042e-01, -3.262e-02, -1.650e-04, 2.632e-05, 1.914e-04
2.000e-05, -1.622e-04, 4.949e-04, 7.925e+02, 3.922e-01, -1.285e-01, -1.650e-04, 2.123e-05, 9.221e-05
3.000e-05, -3.642e-04, 6.996e-04, 7.925e+02, 5.544e-01, -2.886e-01, -1.650e-04, -1.517e-05, -9.707e-07
4.000e-05, -6.342e-04, 8.456e-04, 7.925e+02, 6.701e-01, -5.026e-01, -1.650e-04, -8.002e-05, -7.757e-05
5.000e-05, -8.772e-04, 9.073e-04, 7.925e+02, 7.190e-01, -6.951e-01, -1.650e-04, -1.458e-04, -1.208e-04
6.000e-05, -1.202e-03, 9.149e-04, 7.924e+02, 7.250e-01, -9.522e-01, -1.650e-04, -2.401e-04, -1.514e-04
7.000e-05, -1.540e-03, 8.432e-04, 7.924e+02, 6.682e-01, -1.220e+00, -1.650e-04, -3.439e-04, -1.552e-04
8.000e-05, -1.879e-03, 6.882e-04, 7.924e+02, 5.453e-01, -1.489e+00, -1.650e-04, -4.525e-04, -1.304e-04
9.000e-05, -2.274e-03, 3.781e-04, 7.924e+02, 2.996e-01, -1.802e+00, -1.650e-04, -5.843e-04, -5.839e-05
1.000e-04, -2.539e-03, 5.454e-05, 7.924e+02, 4.322e-02, -2.012e+00, -1.650e-04, -6.760e-04, 2.761e-05
1.100e-04, -2.783e-03, -4.090e-04, 7.924e+02, -3.241e-01, -2.205e+00, -1.650e-04, -7.644e-04, 1.595e-04
1.200e-04, -2.906e-03, -8.042e-04, 7.924e+02, -6.372e-01, -2.303e+00, -1.650e-04, -8.123e-04, 2.767e-04
1.300e-04, -2.975e-03, -1.295e-03, 7.924e+02, -1.027e+00, -2.358e+00, -1.650e-04, -8.442e-04, 4.263e-04
1.400e-04, -2.939e-03, -1.969e-03, 7.924e+02, -1.560e+00, -2.329e+00, -1.650e-04, -8.445e-04, 6.363e-04
1.500e-04, -2.776e-03, -2.595e-03, 7.924e+02, -2.056e+00, -2.200e+00, -1.650e-04, -8.016e-04, 8.353e-04
1.600e-04, -2.539e-03, -3.118e-03, 7.924e+02, -2.470e+00, -2.012e+00, -1.650e-04, -7.315e-04, 1.004e-03
1.700e-04, -2.167e-03, -3.673e-03, 7.924e+02, -2.910e+00, -1.717e+00, -1.650e-04, -6.168e-04, 1.184e-03
1.800e-04, -1.684e-03, -4.182e-03, 7.924e+02, -3.314e+00, -1.335e+00, -1.650e-04, -4.637e-04, 1.351e-03
1.900e-04, -1.099e-03, -4.621e-03, 7.924e+02, -3.662e+00, -8.710e-01, -1.650e-04, -2.750e-04, 1.496e-03
2.000e-04, -4.507e-04, -4.961e-03, 7.924e+02, -3.931e+00, -3.571e-01, -1.650e-04, -6.335e-05, 1.608e-03
2.100e-04, 6.161e-04, -5.280e-03, 7.923e+02, -4.184e+00, 4.882e-01, -1.650e-04, 2.883e-04, 1.713e-03
2.200e-04, 1.430e-03, -5.361e-03, 7.923e+02, -4.248e+00, 1.133e+00, -1.650e-04, 5.586e-04, 1.738e-03
2.300e-04, 2.384e-03, -5.299e-03, 7.923e+02, -4.198e+00, 1.889e+00, -1.650e-04, 8.765e-04, 1.715e-03
2.400e-04, 3.003e-03, -5.168e-03, 7.923e+02, -4.095e+00, 2.379e+00, -1.650e-04, 1.084e-03, 1.668e-03
2.500e-04, 4.021e-03, -4.789e-03, 7.923e+02, -3.794e+00, 3.186e+00, -1.650e-04, 1.425e-03, 1.536e-03
2.600e-04, 4.855e-03, -4.305e-03, 7.923e+02, -3.411e+00, 3.847e+00, -1.650e-04, 1.704e-03, 1.368e-03
2.700e-04, 5.661e-03, -3.648e-03, 7.923e+02, -2.890e+00, 4.485e+00, -1.650e-04, 1.973e-03, 1.140e-03
2.800e-04, 6.366e-03, -2.852e-03, 7.923e+02, -2.260e+00, 5.044e+00, -1.650e-04, 2.209e-03, 8.637e-04
2.900e-04, 6.951e-03, -1.934e-03, 7.923e+02, -1.533e+00, 5.507e+00, -1.650e-04, 2.402e-03, 5.453e-04
3.000e-04, 7.371e-03, -9.828e-04, 7.923e+02, -7.787e-01, 5.840e+00, -1.650e-04, 2.538e-03, 2.153e-04
3.100e-04, 7.666e-03, 9.106e-05, 7.923e+02, 7.214e-02, 6.073e+00, -1.650e-04, 2.631e-03, -1.570e-04
3.200e-04, 7.806e-03, 1.622e-03, 7.923e+02, 1.285e+00, 6.185e+00, -1.650e-04, 2.666e-03, -6.874e-04
3.300e-04, 7.729e-03, 2.652e-03, 7.923e+02, 2.101e+00, 6.124e+00, -1.650e-04, 2.629e-03, -1.044e-03
3.400e-04, 7.445e-03, 3.925e-03, 7.923e+02, 3.110e+00, 5.899e+00, -1.650e-04, 2.518e-03, -1.483e-03
3.500e-04, 6.988e-03, 5.089e-03, 7.923e+02, 4.032e+00, 5.536e+00, -1.650e-04, 2.347e-03, -1.884e-03
3.600e-04, 6.196e-03, 6.412e-03, 7.922e+02, 5.080e+00, 4.909e+00, -1.650e-04, 2.057e-03, -2.338e-03
3.700e-04, 5.313e-03, 7.450e-03, 7.922e+02, 5.902e+00, 4.209e+00, -1.650e-04, 1.737e-03, -2.692e-03
3.800e-04, 4.217e-03, 8.392e-03, 7.922e+02, 6.649e+00, 3.341e+00, -1.650e-04, 1.341e-03, -3.011e-03
3.900e-04, 2.974e-03, 9.159e-03, 7.922e+02, 7.256e+00, 2.356e+00, -1.650e-04, 8.959e-04, -3.266e-03
