# Coef readed from Estimation_MHE
# re-group data fitting for RBD body_coef from /home/ntrivi/Documents/Tesis/Estim_MHE/Resultados/Coef_estim.txt, Case: F01, Nt: 1, MHE method: MPC casadi tools, Noise added: True
# Mach,       Cd0,       Cd2,    Cl_alpha,  Cn_p_alpha,   Clp,    Cm_alpha,    Cm_q ,   Cm_p_alpha
1.000e-02, 1.433e-01, 2.569e+00, 1.768e+00, -7.670e-01, -1.139e-02, -3.423e+00, -1.510e+01, 4.939e-01
6.000e-01, 1.433e-01, 2.569e+00, 1.768e+00, -7.670e-01, -1.139e-02, -3.423e+00, -1.510e+01, 4.939e-01
8.000e-01, 1.459e-01, 3.054e+00, 1.783e+00, -7.737e-01, -1.105e-02, -3.565e+00, -1.505e+01, 2.218e-01
9.000e-01, 1.679e-01, 3.255e+00, 1.837e+00, -8.579e-01, -1.054e-02, -3.887e+00, -1.500e+01, 8.467e-02
9.500e-01, 2.282e-01, 3.509e+00, 2.027e+00, -1.042e+00, -1.006e-02, -3.869e+00, -1.502e+01, 2.014e-01
1.000e+00, 3.291e-01, 4.178e+00, 2.155e+00, -9.767e-01, -1.000e-02, -3.652e+00, -1.522e+01, 2.494e-01
1.050e+00, 3.749e-01, 4.188e+00, 2.200e+00, -9.129e-01, -9.992e-03, -3.454e+00, -1.533e+01, 3.088e-01
1.100e+00, 3.794e-01, 4.489e+00, 2.263e+00, -8.387e-01, -9.624e-03, -3.393e+00, -1.503e+01, 3.775e-01
1.200e+00, 3.687e-01, 4.391e+00, 2.335e+00, -7.731e-01, -9.948e-03, -3.398e+00, -1.502e+01, 3.759e-01
1.350e+00, 3.534e-01, 4.286e+00, 2.440e+00, -7.669e-01, -9.999e-03, -3.295e+00, -1.506e+01, 3.778e-01
1.500e+00, 3.359e-01, 4.149e+00, 2.564e+00, -7.669e-01, -9.998e-03, -3.256e+00, -1.507e+01, 3.801e-01
1.750e+00, 3.150e-01, 3.956e+00, 2.680e+00, -7.670e-01, -1.006e-02, -3.188e+00, -1.513e+01, 3.845e-01
2.000e+00, 2.956e-01, 3.553e+00, 2.742e+00, -7.667e-01, -1.046e-02, -3.025e+00, -1.560e+01, 4.149e-01
5.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
