BODY COEF,Paper Egipcios ASAT-13-FM-03,,,,,,,,,,
M,Ca,Cad2,Cna,Cypa,Clp,Cma,Cmq,Cnpa,,,
,,,,,,,,0,2,5,10
0.10,0.144,2.343,1.763,-0.767,-0.023,3.355,-5.10,-0.500,0.005,0.294,0.58
0.60,0.144,2.343,1.763,-0.767,-0.023,3.378,-5.10,-0.500,0.005,0.294,0.58
0.80,0.146,2.847,1.783,-0.767,-0.022,3.571,-5.10,-0.355,0.078,0.366,0.65
0.90,0.167,3.372,1.827,-0.857,-0.021,3.957,-7.40,-0.112,0.172,0.415,0.86
0.95, 0.221,3.73,2.038,-1.082,-0.020,3.886,-9.90,-0.085,0.292,0.500,1.12
1.00,0.327,4.18,2.153,-0.992,-0.020,3.682,-13.8,-0.198,0.388,0.482,0.72
1.05,0.383,4.691,2.207,-0.902,-0.020,3.415,-13.3,0.293,0.430,0.465,0.55
1.10,0.381,5.209,2.255,-0.857,-0.019,3.384,-14.6,0.334,0.432,0.456,0.54
1.20,0.370,5.702,2.325,-0.767,-0.020,3.424,-15.80,0.352,0.424,0.438,0.51
1.35,0.353,5.13,2.442,-0.767,-0.020,3.278,-15.60,0.366,0.424,0.438,0.51
1.50,0.338,4.561,2.556,-0.767,-0.020,3.264,-15.30,0.373,0.424,0.438,0.51
1.75,0.314,3.97,2.692,-0.767,-0.020,3.201,-15.30,0.381,0.431,0.438,0.51
2.00,0.294,3.46,2.747,-0.767,-0.021,3.013,-15.30,0.388,0.431,0.438,0.51
5.00,0.294,3.46,2.747,-0.767,-0.021,3.013,-15.30,0.388,0.431,0.438,0.51
0,0,0,0,0,0,0,0,0,2,5,10
